file,language,rows,disk_size_gb,memory_size_gb,mean_line_count,std_line_count,mean_ast_nodes,std_ast_nodes,mean_line_length,mean_node_density,mean_errors,zero_error_ratio
c_parsed_1.parquet,c,175204,2.59630014,13.37811932,61.44458459852515,65.40260485530395,403.10556836601904,513.234515201028,28.05967905983882,6.23738764785575,9.018932216159449,42.0875094175932
c_parsed_2.parquet,c,175205,2.611629829,13.455107226,61.889027139636426,66.00075856395023,405.3168003196256,515.8349234212775,28.080004109471762,6.240835938353596,9.059981164921092,41.96626808595645
c_parsed_3.parquet,c,175204,2.601944272,13.397534938,61.592697655304676,65.64870881744491,403.48585077966254,510.3981025079273,28.0873973196959,6.244963997415403,8.961599050249994,42.324946919020114
c_parsed_4.parquet,c,175205,2.630473402,13.543295695,62.11133243914272,66.22614943894085,407.8947119089067,519.423315809948,28.100789988870176,6.24649771521956,9.04694500727719,42.04046688165292
cpp_parsed_1.parquet,cpp,176910,4.613839778,24.793147476,87.82584364931321,84.96682230806661,744.0389633146798,804.4188693249326,28.12127041998757,8.14693538290702,0.7486857724266576,88.64111695212254
cpp_parsed_3.parquet,cpp,176909,4.623555672,24.850475264,87.9151767292789,85.00230422867558,745.5106862850392,804.5250340595463,28.175148296581863,8.15787639823968,0.7529916510748463,88.70097055548332
cpp_parsed_2.parquet,cpp,176910,4.63383642,24.924393559,88.02403481996495,85.49857369409935,747.2882313040529,812.1111257053913,28.17067254536205,8.1556639656773,0.7047990503645921,88.72929738285004
cpp_parsed_4.parquet,cpp,176911,4.612581096,24.799546977,87.73496277789397,84.84089272498055,743.8423501082465,805.9454850287983,28.18921604648665,8.152200964330975,0.6941908643329131,88.83902075054688
c_sharp_parsed_2.parquet,c-sharp,176301,2.125369853,12.324360026,44.29104769683666,39.311726521365614,330.77066494234293,331.76963691224927,29.514682333055397,7.193623030485456,0.6549197111757733,97.03915462759713
c_sharp_parsed_3.parquet,c-sharp,176301,2.130448331,12.35964619,44.326067350724045,39.429222594384015,331.78975161797155,332.6608847137119,29.526809830914168,7.206093962475509,0.633983925218802,97.01703336906768
c_sharp_parsed_1.parquet,c-sharp,176300,2.122395915,12.313900568,44.18018718094158,39.39002846428617,330.4550311968236,333.29377723991166,29.509777311401024,7.198010384648496,0.6296823596142939,97.02212138400454
c_sharp_parsed_4.parquet,c-sharp,176301,2.125968721,12.335977611,44.23542123981146,39.41631008968097,330.96570070504424,332.8383430198315,29.549210157628153,7.211407378582,0.650461426764454,97.00285307513855
go_parsed_3.parquet,go,175083,3.618854096,19.76912014,68.22428219758629,58.077700825278484,609.9588538007688,575.3029060244004,25.1906702535369,8.409048600643786,0.02694721931883735,99.26434890880326
go_parsed_2.parquet,go,175083,3.614752795,19.75018462,68.17506554034372,58.088091354170736,609.5066339964474,575.8299591144986,25.191664867519968,8.401157839925933,0.02467972333122005,99.3128973115608
